morale1,morale2,morale3,belong1,belong2,belong3,classyr,female,fratsor,athletic,othorg,religact,polviews,race,gpa,loyal1,loyal2,loyal3
10,9,10,10,10,9,87,Male,1,0,1,1,6,0,3.53,0,0,10
8,8,6,6,10,8,86,Male,0,0,1,0,2,0,3.16,2,0,7
10,10,10,10,10,10,88,Female,0.5,0.5,2,1,6,3,,0,0,10
8,9,7,8,8,7,85,Male,0,0,4,1,2,0,3.4,0,7,7
7,10,7,9,4,7,85,Female,1,1,3,0,3,0,2.22,0,6,6
9,10,10,10,9,10,85,Female,1,0,2,0,3,0,2.75,0,1,10
7,7,8,7,7,7,85,Female,0,0,1,0,5,0,3.67,1,6,8
7,9,10,6,9,9,86,Female,1,1,1,1,4,0,3.33,1,3,5
9,8,9,6,7,7,86,Female,0,0,1,0,6,0,3.71,0,2,7
8,10,10,6,7,7,88,Male,0,1,3,1,2,0,3,0,9,7
9,10,9,9,9,9,88,Male,0,1,0,0,4,0,,1,2,2
9,10,9,10,9,9,88,Male,0,0,3,0,1,4,,0,0,3
7,8,9,6,7,7,88,Female,0,0,0,0,2,0,,0,2,2
10,10,10,10,10,10,88,Female,0.5,1,0,0,2,0,,1,0,1
7,7,10,10,10,10,85,Female,0,1,0,0,7,0,2.05,0,0,3
10,10,9,10,10,10,88,Female,0.5,1,1,0,5,0,,0,0,8
1,5,6,3,5,6,87,Male,0,0,0,0,2,0,3.3,7,3,7
9,10,9,9,1,9,87,Female,1,1,0,0,4,0,3,0,0,7
9,9,8,7,9,9,85,Female,0,0,4,1,3,0,3.27,0,1,5
10,10,10,10,10,10,88,Female,0,1,0,0,4,4,,0,10,10
10,10,10,10,10,10,88,Male,0,0,1,1,5,0,,0,0,0
9,10,10,10,10,10,88,Female,0.5,1,2,0,5,1,,0,0,10
9,8,7,8,7,7,87,Female,0,0,0,0,5,0,3.33,2,3,8
10,10,10,10,10,10,87,Female,0,0,0,0,4,0,3.2,0,0,5
10,10,10,10,10,10,85,Male,1,0,2,1,2,0,3.4,0,0,9
10,10,10,8,9,9,88,Female,0,1,2,0,5,0,,1,0,
5,6,6,6,4,5,86,Female,1,1,0,0,5,0,2.3,3,7,4
8,8,9,8,8,8,87,Female,0,0,4,1,5,0,3.2,0,3,8
8,7,6,3,6,4,85,Male,0,1,1,1,2,0,3.8,4,5,5
4,8,8,6,3,7,86,Female,0,0,0,0,3,0,3.85,1,3,7
9,9,8,7,8,8,87,Female,0,0,1,1,4,0,3.8,0,0,7
10,10,10,10,10,10,85,Female,1,1,0,1,5,0,3.33,0,0,10
8,10,10,7,9,7,86,Male,0,0,1,1,3,0,3.43,1,0,7
10,10,10,10,10,9,87,Male,0,0,0,0,8,1,,0,0,9
9,10,10,9,9,9,86,Female,1,1,0,1,7,0,2.6,0,1,9
9,10,10,9,9,9,85,Female,1,0,1,0,8,0,3.01,0,0,10
7,8,9,6,5,7,88,Female,0,0,0,0,5,1,,0,0,
7,8,7,9,7,7,87,Female,1,0,1,0,8,0,3.3,0,0,
8,10,8,9,8,8,88,Male,0,0,1,0,4,0,,1,6,2
8,8,8,8,8,8,85,Male,1,0,0,0,4,0,3,0,1,8
9,10,10,9,10,9,88,Male,0,1,1,0,3,0,,0,0,10
6,7,9,7,7,7,86,Male,0,0,1,0,2,2,2.65,2,7,7
10,10,10,8,8,8,85,Male,1,0,0,0,6,0,3.2,0,10,2
10,10,10,10,10,10,88,Male,0,1,1,1,4,0,,0,0,0
9,10,10,9,8,9,85,Female,1,0,0,0,5,0,2.8,0,1,9
10,10,10,9,9,9,87,Female,1,1,2,1,5,0,3,0,0,5
10,10,10,9,9,10,88,Male,0,1,0,1,6,0,,0,0,0
10,10,10,10,10,10,88,Male,0,1,0,0,3,1,,0,10,4
10,10,10,10,10,10,85,Female,1,1,0,0,4,0,2.6,0,0,10
8,10,9,8,8,7,87,Female,1,0,2,0,6,0,3.1,0,1,2
6,3,5,5,5,5,88,Male,0,0,2,0,8,0,,6,5,6
7,10,10,9,8,8,87,Female,0,0,1,0,2,0,3.78,0,9,9
10,10,10,8,9,10,88,Male,,0.5,0,0,5,0,,0,0,1
1,3,2,0,1,0,86,Female,0,0,0,0,8,0,,1,9,10
7,4,5,4,7,4,87,Male,0,0,2,0,5,0,3.4,5,3,4
7,10,10,8,9,6,84,Female,1,0,0,0,3,0,2.3,1,5,8
8,10,8,10,8,8,87,Male,0,1,0,0,2,0,3.2,0,0,2
10,10,10,10,10,10,85,Female,1,0,2,1,6,0,3.2,0,0,0
10,10,8,9,8,8,87,Male,1,0,0,0,3,0,3.3,0,1,2
7,10,9,6,6,7,87,Female,0,0,0,0,3,3,3.6,0,0,10
10,10,10,10,10,10,88,Male,0,1,0,1,6,0,,0,1,0
9,9,9,9,9,9,85,Female,0,1,2,0,5,0,3.1,0,0,9
9,10,6,9,7,7,88,Male,0,1,1,0,2,0,,2,4,6
8,8,10,5,7,7,87,Female,0,1,2,0,5,0,3.4,1,8,7
10,10,10,10,10,10,88,Female,0,0,2,0,5,0,,0,0,0
8,8,10,8,8,8,87,Female,0,0,0,0,5,0,3.33,0,0,2
10,10,10,9,8,9,88,Male,0,1,0,1,2,0,,0,0,10
8,10,10,10,10,10,85,Male,0,0,1,0,2,0,3.26,0,2,6
8,8,8,8,7,8,88,Male,0,1,0,0,3,0,,1,7,3
5,6,6,6,6,6,86,Female,0,0,1,0,2,0,3.8,4,5,6
10,10,10,10,10,10,87,Male,0,1,3,0,3,0,2.7,0,10,10
6,7,4,3,2,5,85,Female,0,0,0,0,2,0,3.74,5,6,7
5,8,8,3,4,4,86,Male,0,0,3,0,1,2,3.25,3,4,5
8,9,9,8,8,9,88,Male,0,1,0,0,4,0,,1,1,8
9,6,7,7,5,5,87,Female,1,0,2,1,3,4,1.5,0,0,9
10,10,10,10,9,9,85,Female,0,0,5,1,5,0,3.43,0,9,10
7,9,9,7,8,8,85,Female,1,1,3,0,2,0,3.2,0,0,6
6,7,8,7,9,9,88,Female,0,0,3,1,4,0,,1,2,4
9,10,10,10,9,8,88,Male,0,0.5,0,0,6,0,3.2,0,0,8
9,8,10,9,7,9,88,Female,0.5,0,2,0,2,0,,0,1,10
4,7,9,6,3,5,88,Male,0,0,0,0,4,1,,3,3,3
10,10,10,9,10,10,88,Female,0.5,0,3,0,6,0,,0,0,9
10,10,10,10,10,10,85,Female,1,1,1,0,4,0,2.9,0,0,9
5,7,5,5,7,7,85,Male,0,1,1,0,1,0,3,5,2,7
8,9,9,8,7,7,85,Female,0,0,2,1,5,0,3.54,0,2,5
10,10,10,7,7,7,85,Female,0,0,1,0,3,0,3.5,0,7,8
3,8,8,8,8,8,86,Male,1,0,1,0,6,0,3.31,1,1,5
8,9,9,8,5,9,87,Male,1,1,1,0,4,3,3.1,1,0,9
9,10,10,9,9,9,86,Male,1,1,2,0,3,3,2.08,0,1,10
7,10,10,8,8,8,88,Male,0.5,1,0,1,6,0,,0,2,8
9,10,10,9,10,10,85,Male,1,0,0,1,3,0,3.1,0,0,10
10,10,10,10,10,10,87,Male,1,1,3,1,7,0,2.9,0,0,10
10,9,9,7,0,10,88,Male,1,1,1,1,5,0,,0,7,0
9,9,9,8,5,9,85,Male,1,1,1,1,5,0,3.11,0,0,8
7,6,9,6,5,7,86,Female,1,1,0,1,5,0,2.73,2,0,7
10,10,10,9,10,10,88,Male,0.5,0,2,1,3,0,2.8,0,0,0
8,9,7,9,8,7,85,Female,1,0,3,0,4,0,3.3,2,2,8
10,10,10,8,9,9,87,Male,1,0,0,0,4,0,3.7,0,2,1
8,10,9,9,6,7,85,Male,1,1,1,0,2,0,3.3,0,2,5
8,8,10,6,7,9,85,Female,0,0,4,0,2,0,3.1,0,5,8
9,10,10,9,9,8,88,Female,0.5,1,0,1,6,0,3,0,9,8
10,10,10,10,9,0,86,Male,1,1,0,1,6,0,3.6,0,0,9
10,10,9,9,9,9,88,Female,0,1,0,1,5,0,3.1,1,0,10
9,9,10,8,9,9,86,Male,0,0,0,0,4,0,3.65,0,1,9
1,3,2,1,1,0,87,Female,0,0,0,0,1,0,3.5,5,3,3
8,8,8,7,8,8,86,Female,1,0,0,0,5,0,3.1,1,7,8
