race,sex,marital,educ,age,expdesgn,odds1,odds2,earthsun,viruses,condrift,evolved,radioact,hotcore,boyorgrl,electron,bigbang,lasers,bibrev,evolvedrev,bigbangrev,female,married,race_black,race_other
2,2,2,12,29,0,0,1,1,0,1,0,0,1,0,0,0,0,2,1,1,1,0,1,0
2,1,5,16,26,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0
2,1,3,16,60,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0
1,2,1,13,34,0,1,1,1,1,0,0,0,1,0,0,0,0,3,1,1,1,1,0,0
2,2,5,11,18,1,0,0,1,1,1,0,0,0,0,1,0,0,2,1,1,1,0,1,0
2,1,5,12,69,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0
3,2,3,14,56,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1
1,2,1,12,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0
3,2,5,14,57,1,0,1,0,1,1,0,0,1,1,0,0,0,2,1,1,1,0,0,1
1,1,1,14,63,1,1,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,0,0
2,2,5,12,41,0,1,1,0,0,1,0,0,1,1,1,1,0,2,1,0,1,0,1,0
2,2,2,14,69,0,0,0,0,0,0,1,0,1,0,1,1,0,3,0,0,1,0,1,0
1,1,5,13,52,1,1,1,1,1,1,1,1,1,0,1,1,1,2,0,0,0,0,0,0
3,2,1,12,59,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,1
3,2,1,16,35,0,0,1,1,1,1,1,0,0,1,1,0,0,2,0,1,1,1,0,1
3,2,1,10,46,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,1,1,1,0,1
3,2,4,17,33,0,1,0,0,0,1,1,1,1,1,1,0,0,2,0,1,1,0,0,1
2,2,5,9,55,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0
1,1,2,12,74,0,1,0,1,0,1,1,1,1,0,0,0,1,2,0,1,0,0,0,0
1,2,5,10,33,0,1,1,0,0,0,0,0,0,1,1,0,0,2,1,1,1,0,0,0
1,1,1,10,44,0,1,1,1,1,0,1,0,1,0,0,0,0,3,0,1,0,1,0,0
1,2,1,17,40,1,1,1,1,1,1,0,1,1,1,1,0,1,3,1,1,1,1,0,0
1,1,1,19,37,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,0,0
2,1,5,14,20,0,1,1,1,0,1,0,1,1,1,0,1,0,3,1,0,0,0,1,0
1,2,5,17,75,0,1,0,0,1,1,0,0,1,1,0,0,0,2,1,1,1,0,0,0
1,2,3,18,60,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0
1,1,1,20,39,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0
1,2,5,18,26,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0
1,2,5,11,37,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0
1,2,5,16,30,0,1,0,0,1,0,0,0,1,1,0,0,0,2,1,1,1,0,0,0
2,1,4,13,40,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,0,0,1,0
1,1,1,16,54,0,1,1,1,0,1,0,1,0,1,1,0,0,2,1,1,0,1,0,0
1,2,2,14,83,1,1,1,0,1,1,0,1,1,0,0,0,0,2,1,1,1,0,0,0
1,2,1,12,43,0,0,0,1,1,1,0,1,1,0,0,0,0,3,1,1,1,1,0,0
1,2,5,12,50,0,1,1,1,1,1,1,1,1,1,0,1,0,2,0,0,1,0,0,0
3,2,5,16,26,1,1,0,0,1,1,0,1,0,1,1,0,0,2,1,1,1,0,0,1
2,2,1,16,39,0,1,0,0,1,1,1,0,1,1,1,0,0,2,0,1,1,1,1,0
1,2,3,14,58,1,1,1,1,1,0,0,0,1,1,1,0,0,2,1,1,1,0,0,0
1,2,2,12,82,1,1,1,1,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,0
1,2,5,12,89,1,1,1,0,0,1,1,1,1,1,1,1,1,2,0,0,1,0,0,0
1,1,5,18,39,1,1,1,1,1,1,0,1,1,1,1,0,1,2,1,1,0,0,0,0
1,2,1,18,58,1,1,1,1,1,1,0,1,1,1,1,0,1,2,1,1,1,1,0,0
1,2,3,16,53,1,1,1,0,1,1,1,0,0,1,0,0,0,2,0,1,1,0,0,0
1,1,5,16,58,1,1,1,0,0,1,1,1,1,1,1,1,0,2,0,0,0,0,0,0
1,2,4,13,49,0,1,1,0,1,1,1,1,1,1,0,1,1,2,0,0,1,0,0,0
1,1,5,12,52,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
3,1,2,13,66,0,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,0,0,0,1
1,2,1,14,42,0,1,1,1,1,1,0,1,0,1,1,0,1,2,1,1,1,1,0,0
1,1,1,16,75,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,2,1,18,51,1,1,1,1,1,1,0,1,0,1,1,0,1,2,1,1,1,1,0,0
3,1,1,18,54,0,1,1,0,0,1,1,0,1,1,0,1,0,2,0,0,0,1,0,1
1,1,1,17,72,1,1,1,1,0,1,1,1,1,1,1,1,1,2,0,0,0,1,0,0
1,1,5,14,37,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0
2,2,3,11,55,1,1,1,0,0,0,0,1,0,1,0,0,0,3,1,1,1,0,1,0
3,1,5,11,18,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1
2,1,3,15,66,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,0,0,0,1,0
3,1,1,18,29,1,1,0,1,1,1,0,0,1,1,0,0,1,2,1,1,0,1,0,1
3,1,1,13,36,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,0,1,0,1
1,2,1,17,26,1,1,1,0,0,1,0,0,1,1,1,0,0,2,1,1,1,1,0,0
1,2,5,15,26,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,1,0,0,0
1,2,3,14,62,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0
1,1,5,14,22,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
1,1,5,15,23,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
2,2,3,12,59,0,1,0,0,0,0,0,1,1,1,0,0,0,2,1,1,1,0,1,0
1,1,4,12,35,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0
1,1,5,14,27,1,1,1,1,1,1,0,0,1,0,0,1,1,2,1,0,0,0,0,0
1,2,5,16,32,0,1,1,0,1,1,1,1,1,1,1,0,0,2,0,1,1,0,0,0
1,2,1,18,58,1,1,1,1,1,1,0,1,1,1,1,0,1,2,1,1,1,1,0,0
1,2,1,16,40,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,1,1,0,0
1,2,1,10,68,1,0,1,1,0,1,1,1,1,1,0,0,1,2,0,1,1,1,0,0
1,1,1,14,72,1,1,1,1,0,1,0,1,1,1,1,0,1,3,1,1,0,1,0,0
1,2,1,16,38,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,1,1,0,0
1,2,1,15,50,0,1,1,0,1,1,1,1,1,1,1,0,1,2,0,1,1,1,0,0
1,1,1,12,71,1,1,0,1,0,0,0,1,1,0,1,0,0,3,1,1,0,1,0,0
1,2,1,14,62,0,1,1,1,1,1,0,1,1,1,1,0,0,2,1,1,1,1,0,0
1,2,3,15,78,0,0,1,0,1,1,0,0,0,0,0,1,0,2,1,0,1,0,0,0
1,1,1,16,29,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,0,0
1,2,3,14,42,1,1,1,1,1,0,0,0,1,1,1,0,1,3,1,1,1,0,0,0
1,1,1,12,46,0,1,1,1,0,1,1,1,1,1,0,1,0,2,0,0,0,1,0,0
1,2,1,12,49,0,1,1,0,0,1,0,1,1,0,0,0,0,2,1,1,1,1,0,0
1,2,3,9,50,0,1,1,1,0,1,0,1,1,0,1,0,1,2,1,1,1,0,0,0
1,2,5,13,20,1,1,1,0,0,1,1,1,1,1,0,0,1,2,0,1,1,0,0,0
1,1,5,16,27,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0
1,2,3,16,56,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0
2,2,5,16,27,0,1,0,1,0,0,0,0,0,1,1,0,0,3,1,1,1,0,1,0
2,2,1,14,54,0,1,0,0,0,1,0,0,1,0,1,0,0,2,1,1,1,1,1,0
2,1,1,14,36,0,1,0,1,0,1,0,1,1,1,0,1,1,2,1,0,0,1,1,0
1,1,3,12,50,0,1,1,0,1,1,1,1,1,1,1,0,1,2,0,1,0,0,0,0
1,2,1,13,27,0,1,1,0,1,1,0,1,1,1,1,0,0,3,1,1,1,1,0,0
3,1,1,10,55,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1
1,1,2,12,72,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
3,1,5,12,55,0,1,1,0,0,1,1,0,1,1,0,1,0,2,0,0,0,0,0,1
1,1,3,18,62,1,1,0,1,1,1,0,1,1,1,0,0,1,2,1,1,0,0,0,0
1,2,1,17,63,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0
3,2,5,16,28,1,1,1,1,1,1,1,1,1,0,1,0,1,2,0,1,1,0,0,1
1,2,1,16,41,1,1,1,1,1,1,0,0,0,1,1,1,1,2,1,0,1,1,0,0
1,1,1,17,60,1,1,1,1,1,1,0,1,1,0,1,0,1,2,1,1,0,1,0,0
1,2,3,14,52,1,1,1,1,1,1,0,1,0,0,0,0,0,3,1,1,1,0,0,0
3,2,5,12,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
1,1,5,14,21,0,1,1,0,0,1,1,0,1,1,1,1,1,2,0,0,0,0,0,0
1,1,1,16,42,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
3,2,4,14,33,1,0,1,0,0,0,0,1,1,1,0,0,0,2,1,1,1,0,0,1
2,1,3,15,54,1,1,1,0,0,1,0,1,0,1,0,0,0,3,1,1,0,0,1,0
1,2,1,14,54,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0
1,2,5,14,24,0,1,1,0,1,1,1,1,1,1,1,1,1,2,0,0,1,0,0,0
1,1,1,17,50,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0
1,1,1,9,44,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,0,0,1,0,0
1,1,4,13,60,1,1,1,1,1,1,0,1,1,1,1,0,1,2,1,1,0,0,0,0
1,1,3,18,48,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0
1,1,5,18,49,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,2,5,15,21,1,1,1,1,1,1,0,1,1,0,0,0,0,2,1,1,1,0,0,0
1,2,1,14,82,1,1,1,0,1,1,0,1,1,1,0,1,1,2,1,0,1,1,0,0
2,2,4,12,51,0,1,0,1,0,1,1,0,1,1,0,1,0,2,0,0,1,0,1,0
2,1,1,14,41,0,1,1,0,0,1,0,1,1,0,1,0,0,3,1,1,0,1,1,0
1,1,5,12,35,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0
2,1,5,12,22,0,1,0,0,1,1,1,0,0,1,1,0,0,2,0,1,0,0,1,0
1,2,1,12,60,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0
1,2,5,17,33,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,1,0,0,0
1,1,2,15,51,1,1,0,1,0,1,0,1,1,0,1,1,1,2,1,0,0,0,0,0
1,1,5,15,22,1,1,1,1,0,1,1,1,1,0,1,0,1,2,0,1,0,0,0,0
1,2,1,13,20,0,0,1,0,0,1,0,0,0,1,1,0,1,2,1,1,1,1,0,0
1,2,1,13,35,1,1,1,1,1,1,0,1,1,0,0,0,0,2,1,1,1,1,0,0
1,2,3,14,59,1,1,1,1,1,1,0,1,1,1,0,0,1,2,1,1,1,0,0,0
1,2,2,15,85,0,1,1,0,0,0,0,1,0,0,0,1,0,3,1,0,1,0,0,0
1,1,3,15,48,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0
1,1,5,16,46,0,1,1,1,0,1,1,0,0,1,0,0,1,2,0,1,0,0,0,0
3,2,5,12,29,0,1,0,0,0,1,1,0,1,0,0,1,0,2,0,0,1,0,0,1
2,1,1,16,43,0,0,0,0,1,1,0,0,1,0,1,1,1,3,1,0,0,1,1,0
3,2,4,14,39,0,1,0,1,1,0,0,0,1,1,1,1,0,2,1,0,1,0,0,1
1,2,5,14,26,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0
2,1,1,13,61,0,1,0,0,0,1,0,1,0,1,0,0,0,3,1,1,0,1,1,0
2,2,5,10,19,0,1,0,1,0,1,1,0,0,0,0,1,0,3,0,0,1,0,1,0
2,2,5,11,25,0,1,0,0,0,1,1,0,1,0,1,0,0,3,0,1,1,0,1,0
2,2,1,14,56,0,0,1,0,0,1,0,1,1,1,1,0,0,3,1,1,1,1,1,0
2,2,5,2,42,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0
3,2,3,18,46,0,1,1,1,0,1,0,1,1,1,0,0,0,2,1,1,1,0,0,1
2,2,5,11,49,0,1,1,0,1,0,0,1,0,0,1,0,0,3,1,1,1,0,1,0
2,2,3,13,36,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0
2,2,5,11,30,0,0,0,0,1,1,0,0,1,1,1,0,0,3,1,1,1,0,1,0
1,2,3,12,77,0,1,1,0,1,0,0,1,1,1,1,0,0,2,1,1,1,0,0,0
1,1,5,17,23,0,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,0,0,0,0
1,2,1,15,44,0,1,1,0,1,1,0,1,0,1,0,0,1,2,1,1,1,1,0,0
1,2,1,16,24,1,1,1,1,1,1,1,0,0,1,1,0,0,2,0,1,1,1,0,0
1,2,1,2,27,1,1,1,1,1,1,0,1,1,1,1,0,1,3,1,1,1,1,0,0
2,2,3,13,46,0,1,0,0,0,1,0,1,1,0,1,1,0,3,1,0,1,0,1,0
2,1,3,3,73,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0
1,1,1,10,28,0,1,0,0,0,1,0,0,1,0,1,0,0,2,1,1,0,1,0,0
2,2,1,12,43,0,0,0,0,0,1,0,1,1,1,0,0,0,3,1,1,1,1,1,0
2,1,1,15,56,0,1,1,0,1,1,0,1,0,1,0,0,0,3,1,1,0,1,1,0
1,2,5,16,50,1,1,1,1,1,1,0,1,1,1,1,0,0,2,1,1,1,0,0,0
1,2,1,14,44,1,0,1,0,1,1,0,1,1,1,1,1,0,3,1,0,1,1,0,0
1,1,3,14,48,1,1,1,1,0,1,1,0,1,1,0,0,1,2,0,1,0,0,0,0
2,1,4,7,70,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1,0,0,1,0
1,1,1,16,77,0,1,1,1,1,1,1,1,1,0,1,1,1,2,0,0,0,1,0,0
1,2,1,18,54,0,0,0,1,1,1,0,1,1,1,1,0,1,3,1,1,1,1,0,0
3,2,5,15,23,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,1,0,0,1
2,1,5,14,30,0,0,1,1,0,1,0,0,1,1,0,1,1,2,1,0,0,0,1,0
1,2,3,14,74,0,1,1,0,1,1,0,1,1,1,1,0,1,2,1,1,1,0,0,0
2,2,3,15,39,0,1,1,1,0,1,0,0,1,1,0,1,0,3,1,0,1,0,1,0
1,2,5,13,54,1,1,1,0,1,0,0,1,1,1,0,0,0,3,1,1,1,0,0,0
2,2,3,14,55,1,0,0,0,0,1,1,1,1,1,0,0,0,3,0,1,1,0,1,0
2,1,5,15,41,0,1,1,0,0,1,0,1,1,0,0,1,0,2,1,0,0,0,1,0
2,2,1,13,47,1,1,1,1,0,1,0,1,1,0,0,1,0,3,1,0,1,1,1,0
1,2,1,14,39,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,0,1,1,0,0
1,2,1,9,43,0,0,1,0,0,1,1,0,1,1,0,0,0,2,0,1,1,1,0,0
2,2,5,14,37,0,1,1,0,1,0,0,1,1,1,0,0,1,3,1,1,1,0,1,0
1,1,5,18,34,1,1,1,1,1,1,1,1,1,0,1,1,1,2,0,0,0,0,0,0
2,2,3,16,43,1,1,0,0,1,0,0,1,0,1,0,0,0,2,1,1,1,0,1,0
2,2,3,16,33,0,1,1,1,1,1,0,1,1,1,0,0,1,2,1,1,1,0,1,0
2,1,1,12,42,0,0,0,0,1,0,0,1,1,1,0,0,0,3,1,1,0,1,1,0
1,2,1,18,46,1,1,1,0,1,0,1,1,1,0,0,0,0,2,0,1,1,1,0,0
1,1,1,16,49,1,1,1,1,0,1,1,1,1,1,1,1,1,2,0,0,0,1,0,0
2,2,5,19,32,1,0,1,1,0,1,0,0,1,1,1,0,0,3,1,1,1,0,1,0
1,2,1,7,79,0,0,1,1,0,0,0,0,1,0,0,0,0,3,1,1,1,1,0,0
3,1,1,16,36,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1
3,1,1,16,48,0,1,1,1,0,1,0,1,1,0,0,0,0,2,1,1,0,1,0,1
1,1,1,16,44,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,0,0
1,2,1,16,52,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,1,1,0,0
1,2,1,17,74,0,1,1,1,1,1,1,1,1,0,0,0,0,2,0,1,1,1,0,0
1,1,1,12,49,0,0,1,0,0,1,1,1,0,1,0,0,0,2,0,1,0,1,0,0
3,1,1,12,24,0,1,1,1,0,1,0,0,1,1,1,1,0,2,1,0,0,1,0,1
1,1,1,16,77,1,1,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,1,0,0
1,2,1,20,39,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,1,1,0,0
3,1,1,14,54,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1
2,2,2,15,46,0,1,1,0,0,1,0,1,0,0,0,0,0,3,1,1,1,0,1,0
1,1,1,18,52,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0
2,2,5,12,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,1,0
2,2,5,12,32,0,1,1,0,1,0,1,0,1,0,0,0,1,3,0,1,1,0,1,0
2,1,5,19,37,0,1,1,1,0,1,1,0,1,1,1,1,1,2,0,0,0,0,1,0
1,2,1,18,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0
1,1,1,16,66,0,1,0,1,0,1,0,1,1,0,1,1,1,2,1,0,0,1,0,0
1,2,1,16,42,0,1,1,0,1,1,0,1,0,1,0,0,0,2,1,1,1,1,0,0
1,1,1,16,62,0,1,1,1,1,1,0,1,1,0,0,1,1,2,1,0,0,1,0,0
1,1,1,18,69,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0
1,2,3,12,70,1,1,1,0,1,0,1,1,0,1,0,0,0,2,0,1,1,0,0,0
1,2,1,12,45,1,0,1,1,1,1,0,1,1,1,1,0,0,3,1,1,1,1,0,0
1,2,1,12,61,1,1,0,0,1,1,1,1,0,1,1,1,0,2,0,0,1,1,0,0
1,2,1,13,37,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0
1,2,1,12,59,0,1,1,0,1,1,0,1,0,1,0,1,0,2,1,0,1,1,0,0
1,1,5,12,21,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0
1,2,1,17,31,0,1,1,0,1,0,0,1,1,1,1,0,0,2,1,1,1,1,0,0
1,2,1,12,51,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0
1,1,1,16,40,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0
1,2,2,10,87,0,1,1,1,0,1,0,1,1,1,1,0,0,3,1,1,1,0,0,0
2,2,1,14,52,1,1,1,0,1,1,0,0,1,1,1,0,0,3,1,1,1,1,1,0
1,2,1,16,24,1,1,1,1,1,1,0,0,1,1,1,1,1,3,1,0,1,1,0,0
2,1,5,11,23,0,1,1,1,0,1,0,0,1,0,1,0,0,3,1,1,0,0,1,0
2,1,5,16,48,0,1,1,1,0,1,0,1,1,1,1,1,0,2,1,0,0,0,1,0
2,2,3,14,47,0,0,1,0,1,1,0,1,1,0,0,0,0,2,1,1,1,0,1,0
1,1,1,19,49,1,1,1,1,1,1,1,1,1,0,1,0,1,2,0,1,0,1,0,0
2,2,1,14,50,0,1,1,1,0,1,0,0,0,1,0,0,0,3,1,1,1,1,1,0
1,1,3,16,51,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,2,5,16,23,1,1,0,1,1,1,0,1,1,1,1,0,1,2,1,1,1,0,0,0
