race,sex,marital,educ,age,expdesgn,odds1,odds2,earthsun,viruses,condrift,evolved,radioact,hotcore,boyorgrl,electron,bigbang,lasers,bibrev,evolvedrev,bigbangrev,female,married,race_black,race_other
1,2,1,12,44,0,1,1,1,0,0,0,1,1,0,1,0,1,3,1,1,1,1,0,0
1,2,3,15,50,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0
1,1,1,12,57,0,1,1,0,0,0,1,1,1,0,0,0,1,2,0,1,0,1,0,0
1,2,2,13,69,0,0,1,1,0,1,1,0,1,1,0,1,1,3,0,0,1,0,0,0
1,1,5,12,31,1,1,1,1,1,1,0,0,1,0,0,0,1,2,1,1,0,0,0,0
1,2,1,14,80,1,1,0,1,0,1,0,1,1,0,0,0,0,2,1,1,1,1,0,0
1,2,1,16,39,1,1,1,1,1,1,0,0,0,1,1,1,1,2,1,0,1,1,0,0
1,2,1,12,44,1,1,1,1,1,0,0,0,1,1,0,0,1,3,1,1,1,1,0,0
1,2,1,18,52,0,1,1,0,1,1,1,1,1,1,0,1,1,2,0,0,1,1,0,0
1,1,1,10,62,0,1,1,0,0,1,0,1,1,1,0,0,0,2,1,1,0,1,0,0
1,1,1,16,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
1,2,5,18,30,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0
1,2,1,16,38,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,1,1,0,0
1,1,3,13,43,1,1,1,1,0,1,1,1,1,0,0,1,1,2,0,0,0,0,0,0
1,2,3,16,56,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0
1,2,5,12,80,0,0,1,0,0,1,0,0,1,0,0,0,0,2,1,1,1,0,0,0
2,2,4,15,46,1,1,1,1,1,1,0,0,1,1,1,1,1,2,1,0,1,0,1,0
1,2,1,12,67,1,1,1,0,0,1,0,1,1,1,1,0,0,2,1,1,1,1,0,0
1,1,1,14,58,1,1,0,1,1,1,0,1,1,1,1,0,1,2,1,1,0,1,0,0
1,2,1,12,69,0,1,0,0,1,1,0,1,0,1,0,0,1,2,1,1,1,1,0,0
1,1,5,13,48,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,0,0,0,0,0
2,2,5,16,21,1,1,1,1,1,1,0,1,1,1,1,0,1,2,1,1,1,0,1,0
2,2,3,12,38,1,1,1,1,1,1,0,1,1,1,0,0,1,3,1,1,1,0,1,0
1,1,1,14,50,1,1,1,1,1,1,0,1,1,1,1,0,0,3,1,1,0,1,0,0
2,2,5,16,39,1,1,1,1,0,1,0,1,1,1,0,0,1,2,1,1,1,0,1,0
1,2,2,15,53,0,1,1,0,1,0,0,1,0,1,0,0,0,3,1,1,1,0,0,0
1,2,1,9,28,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,1,1,1,0,0
1,2,1,12,84,0,0,1,0,1,0,0,1,0,0,0,0,0,2,1,1,1,1,0,0
1,1,1,16,26,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,0,0
1,1,5,16,27,1,1,1,1,1,1,0,1,1,1,1,0,1,2,1,1,0,0,0,0
2,2,5,14,20,1,0,0,0,1,0,0,0,0,1,1,0,0,3,1,1,1,0,1,0
1,1,5,13,30,0,1,1,1,0,0,0,1,1,1,0,0,1,3,1,1,0,0,0,0
1,2,1,12,46,0,1,1,1,1,1,0,0,1,0,0,0,0,3,1,1,1,1,0,0
1,2,2,13,79,0,1,1,0,1,0,0,0,1,1,0,0,1,3,1,1,1,0,0,0
1,1,1,13,62,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,0,0
1,1,1,12,35,0,1,1,1,0,1,0,0,1,1,0,0,1,3,1,1,0,1,0,0
1,2,1,14,39,1,1,1,1,0,1,0,1,1,0,1,0,1,3,1,1,1,1,0,0
1,2,1,12,49,0,1,1,0,1,1,1,1,1,0,0,1,1,2,0,0,1,1,0,0
3,2,5,12,20,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1
1,1,5,17,25,1,1,1,1,0,1,1,1,0,0,1,0,1,2,0,1,0,0,0,0
1,1,3,14,55,0,1,1,0,0,0,1,1,0,1,0,0,0,2,0,1,0,0,0,0
1,1,1,12,35,1,1,1,1,1,1,1,1,1,0,1,1,1,2,0,0,0,1,0,0
2,1,3,13,58,0,1,1,1,0,1,0,1,0,0,1,0,1,2,1,1,0,0,1,0
1,2,1,18,62,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,1,1,0,0
1,1,1,20,72,0,1,0,1,1,0,0,1,0,0,1,0,1,2,1,1,0,1,0,0
1,2,1,16,87,0,0,1,0,0,1,0,1,0,0,0,0,0,2,1,1,1,1,0,0
1,1,1,16,68,1,1,1,1,1,1,1,1,0,1,1,1,1,2,0,0,0,1,0,0
1,1,3,16,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,2,5,15,37,1,1,1,0,1,1,1,0,1,1,1,1,0,2,0,0,1,0,0,0
3,1,3,11,48,0,1,1,0,0,0,0,0,1,0,1,0,0,2,1,1,0,0,0,1
1,2,1,19,26,1,1,0,0,0,1,0,1,1,1,1,0,1,3,1,1,1,1,0,0
1,1,1,16,86,0,1,1,0,0,0,0,1,1,0,1,0,1,2,1,1,0,1,0,0
1,2,1,14,82,0,1,1,1,1,0,1,1,0,1,0,0,0,2,0,1,1,1,0,0
1,2,3,14,49,0,1,1,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0
1,2,5,18,24,1,1,1,0,0,1,1,1,1,1,0,1,0,3,0,0,1,0,0,0
1,2,1,15,36,1,1,0,1,1,1,0,1,1,1,1,0,1,3,1,1,1,1,0,0
1,2,1,16,23,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,1,1,0,0
2,2,1,16,49,0,1,1,1,0,1,0,1,1,1,1,0,0,3,1,1,1,1,1,0
1,2,3,17,34,0,0,1,1,0,1,1,1,1,0,1,0,0,2,0,1,1,0,0,0
1,1,5,17,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2,2,5,14,40,1,1,1,0,0,1,1,1,1,1,1,1,0,2,0,0,1,0,1,0
1,1,5,13,54,0,1,1,1,0,1,0,1,1,0,1,0,0,2,1,1,0,0,0,0
1,1,1,19,28,0,1,1,1,1,1,1,1,0,0,1,1,0,2,0,0,0,1,0,0
1,2,3,10,37,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0
1,1,1,12,39,0,1,1,1,0,1,0,1,1,0,0,0,0,2,1,1,0,1,0,0
1,1,5,12,19,0,1,1,1,0,1,0,0,1,0,1,0,1,3,1,1,0,0,0,0
1,1,1,18,34,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,0,1,0,0
1,2,1,12,39,0,1,1,0,1,1,0,1,1,0,0,0,1,2,1,1,1,1,0,0
1,2,1,20,65,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,1,1,0,0
1,1,3,16,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,16,80,0,1,1,0,0,1,0,1,1,1,1,0,0,2,1,1,0,1,0,0
1,1,4,12,64,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0
3,2,1,14,59,1,0,1,1,1,1,0,1,1,1,1,0,1,3,1,1,1,1,0,1
1,1,3,12,50,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0
1,1,5,14,35,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0
1,1,5,12,48,0,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,0,0,0,0
1,2,1,16,42,0,1,0,1,1,1,1,1,1,1,0,0,0,3,0,1,1,1,0,0
1,2,1,13,40,0,1,1,0,1,1,0,1,1,1,0,0,0,2,1,1,1,1,0,0
1,2,3,14,82,1,1,0,0,0,1,0,0,0,0,0,1,0,2,1,0,1,0,0,0
2,2,2,9,74,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0
1,2,1,12,53,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0
1,2,1,12,50,0,1,1,0,0,1,1,0,1,1,1,1,0,2,0,0,1,1,0,0
1,2,5,12,52,1,0,1,0,0,1,0,1,1,0,1,1,0,2,1,0,1,0,0,0
1,2,5,12,38,0,0,0,0,0,0,1,0,0,1,1,1,0,2,0,0,1,0,0,0
1,1,1,18,53,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,0,0
1,2,3,15,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
3,1,3,12,52,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1
1,1,1,16,64,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0
1,2,2,10,64,0,1,0,1,0,0,0,0,1,1,0,0,0,3,1,1,1,0,0,0
1,1,3,11,56,1,1,1,1,0,1,0,0,1,0,0,0,1,2,1,1,0,0,0,0
1,1,1,13,79,0,1,0,1,1,0,0,1,1,1,1,0,1,2,1,1,0,1,0,0
2,2,5,12,29,0,1,1,1,0,0,0,0,0,1,1,0,0,3,1,1,1,0,1,0
1,2,2,16,65,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,0,1,0,0,0
1,2,2,12,71,1,1,1,1,1,1,1,1,0,1,1,1,0,2,0,0,1,0,0,0
1,2,1,15,73,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0
1,2,5,13,19,1,1,1,1,1,1,0,1,1,1,1,0,1,2,1,1,1,0,0,0
2,1,5,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0
1,2,1,2,35,0,1,1,1,1,1,1,0,1,1,1,0,1,2,0,1,1,1,0,0
1,2,1,13,48,0,0,0,0,1,1,1,1,1,0,0,1,0,2,0,0,1,1,0,0
1,2,1,17,26,1,1,1,1,1,1,1,0,1,1,1,1,0,2,0,0,1,1,0,0
1,2,1,13,52,0,1,1,1,1,1,1,0,1,1,1,0,0,2,0,1,1,1,0,0
1,1,5,18,30,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
3,2,5,9,23,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1
1,1,5,12,33,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,1,0,0,0,0
1,1,5,15,21,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0
1,1,1,12,77,0,1,1,0,0,1,0,0,0,1,0,0,0,2,1,1,0,1,0,0
1,2,2,12,70,0,1,1,1,0,1,0,1,1,1,0,0,0,2,1,1,1,0,0,0
1,1,1,17,69,0,1,1,1,1,0,1,1,1,0,0,0,1,2,0,1,0,1,0,0
2,2,5,11,27,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0
1,2,1,12,30,0,1,1,1,1,1,1,1,1,1,1,0,0,2,0,1,1,1,0,0
1,2,4,7,37,1,0,1,0,0,0,0,1,1,1,0,0,0,2,1,1,1,0,0,0
1,2,2,12,72,0,1,1,1,0,0,0,0,1,1,0,0,0,3,1,1,1,0,0,0
1,2,1,13,53,0,1,1,1,1,1,0,1,1,0,0,0,0,3,1,1,1,1,0,0
1,2,2,12,35,0,1,1,0,0,1,1,1,1,0,0,0,0,2,0,1,1,0,0,0
1,2,2,12,82,1,1,1,0,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0
1,2,1,13,77,0,1,0,0,1,0,0,1,1,1,1,0,0,2,1,1,1,1,0,0
1,1,5,14,23,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0
1,2,5,15,21,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0
1,2,1,17,36,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0
1,2,5,12,35,0,1,1,1,1,1,1,1,1,0,0,0,1,2,0,1,1,0,0,0
1,2,1,12,64,0,1,1,0,1,1,1,0,1,1,1,1,0,2,0,0,1,1,0,0
1,2,3,14,39,0,0,1,0,0,0,1,1,1,0,1,0,0,3,0,1,1,0,0,0
1,1,1,14,44,1,1,0,0,1,1,1,1,0,0,0,1,1,2,0,0,0,1,0,0
1,1,1,16,52,0,0,1,0,1,1,0,0,0,1,0,0,0,2,1,1,0,1,0,0
1,2,5,18,25,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0
2,2,5,14,33,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,1,0,1,0
2,2,1,13,52,0,1,1,1,1,1,1,1,1,0,1,0,0,3,0,1,1,1,1,0
1,1,3,13,52,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0
1,2,4,12,43,0,1,1,0,1,1,0,0,1,0,0,0,0,2,1,1,1,0,0,0
1,2,5,18,49,0,1,1,1,0,0,0,1,1,1,1,1,1,2,1,0,1,0,0,0
1,1,5,13,42,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
2,2,1,12,34,1,1,1,0,0,1,0,0,0,0,0,0,0,3,1,1,1,1,1,0
1,2,5,12,22,0,1,1,1,0,1,1,1,1,0,0,0,0,2,0,1,1,0,0,0
1,1,5,13,32,0,1,1,1,1,1,0,1,1,0,1,0,1,2,1,1,0,0,0,0
1,2,3,15,55,0,1,1,1,1,0,0,1,1,1,1,0,1,2,1,1,1,0,0,0
1,2,2,10,85,0,1,0,0,0,1,1,0,1,1,1,1,0,2,0,0,1,0,0,0
1,2,2,12,86,0,1,1,0,0,0,0,0,1,0,0,0,0,3,1,1,1,0,0,0
1,1,1,17,60,0,1,1,0,0,1,1,1,1,0,1,0,1,2,0,1,0,1,0,0
1,1,2,7,75,1,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0
1,2,3,12,66,0,1,1,1,1,1,1,1,1,1,0,1,0,3,0,0,1,0,0,0
1,1,5,17,50,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
1,2,1,11,78,0,1,1,0,0,1,1,0,1,1,0,1,0,3,0,0,1,1,0,0
1,2,5,14,20,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0
1,1,5,12,46,0,1,1,0,0,1,1,1,1,1,1,1,0,2,0,0,0,0,0,0
1,2,3,8,72,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,1,1,0,0,0
3,2,5,12,24,0,1,1,1,1,1,1,0,0,0,0,1,0,2,0,0,1,0,0,1
1,1,3,16,69,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
1,2,1,14,51,0,1,1,0,1,0,0,1,1,1,1,0,0,2,1,1,1,1,0,0
2,1,1,11,28,1,1,1,1,0,1,0,1,1,1,0,0,0,3,1,1,0,1,1,0
1,1,1,18,55,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
1,1,3,19,54,0,1,1,1,1,1,1,1,1,0,1,0,1,2,0,1,0,0,0,0
3,1,3,13,23,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,1,5,12,43,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0
1,2,3,12,36,0,1,1,1,0,0,1,1,1,0,1,1,1,2,0,0,1,0,0,0
3,2,1,11,27,0,1,1,0,0,1,0,1,1,1,0,0,0,3,1,1,1,1,0,1
1,1,1,16,67,0,1,1,0,1,1,0,1,1,0,0,0,1,2,1,1,0,1,0,0
1,1,2,18,75,0,1,1,0,0,1,0,1,0,0,1,0,0,2,1,1,0,0,0,0
1,2,5,12,22,0,1,0,1,1,1,0,1,1,1,1,0,0,2,1,1,1,0,0,0
1,2,3,7,64,0,1,1,0,0,1,0,0,0,0,0,0,0,3,1,1,1,0,0,0
1,2,1,12,65,0,1,1,1,1,1,0,1,1,1,0,0,1,3,1,1,1,1,0,0
1,2,1,12,47,1,1,1,0,1,1,1,1,1,1,0,0,0,2,0,1,1,1,0,0
1,2,1,16,29,1,1,1,0,0,0,0,1,1,1,1,0,0,3,1,1,1,1,0,0
1,2,1,16,28,1,1,1,1,1,1,0,1,1,1,1,0,1,3,1,1,1,1,0,0
1,2,1,9,65,0,1,0,0,0,1,0,1,0,1,1,0,0,2,1,1,1,1,0,0
1,2,3,18,40,1,1,1,1,1,1,0,1,1,1,1,1,0,2,1,0,1,0,0,0
1,1,1,12,48,1,1,1,1,0,1,0,1,1,1,0,0,0,2,1,1,0,1,0,0
1,2,3,15,37,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0
1,1,2,19,75,0,1,1,0,1,1,1,1,1,1,1,0,0,2,0,1,0,0,0,0
1,2,1,16,46,0,1,0,1,1,1,0,1,0,1,1,1,0,2,1,0,1,1,0,0
1,2,1,16,67,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0
1,2,1,12,64,0,1,1,1,0,1,1,1,1,1,1,0,0,2,0,1,1,1,0,0
3,2,5,15,26,1,1,1,1,1,0,0,1,1,1,0,0,0,3,1,1,1,0,0,1
1,2,3,14,39,0,1,1,1,0,1,0,1,1,1,1,0,0,3,1,1,1,0,0,0
1,2,2,12,65,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0
1,1,3,14,71,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0
1,2,3,8,81,1,1,0,0,1,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0
3,1,1,13,29,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1
1,2,2,10,89,1,1,0,0,1,1,0,1,1,1,0,0,0,2,1,1,1,0,0,0
1,1,5,18,31,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,2,1,16,46,1,1,0,1,1,1,0,1,1,1,1,0,0,2,1,1,1,1,0,0
1,2,3,12,49,1,1,1,0,1,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0
1,1,1,16,35,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,0,0
1,2,1,17,27,1,1,1,0,1,1,1,1,1,1,1,0,1,2,0,1,1,1,0,0
3,2,1,12,31,0,1,1,0,0,0,0,0,1,0,0,1,0,3,1,0,1,1,0,1
1,2,1,12,35,0,1,1,1,0,1,0,0,0,1,1,0,0,2,1,1,1,1,0,0
1,2,1,16,45,0,1,1,0,1,1,1,1,1,1,1,1,1,2,0,0,1,1,0,0
1,2,1,15,54,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0
1,1,3,13,25,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
1,2,1,16,59,1,1,1,1,1,1,0,1,1,0,1,0,1,3,1,1,1,1,0,0
1,2,5,12,27,1,1,1,0,0,1,1,0,1,1,1,0,0,3,0,1,1,0,0,0
2,2,3,16,43,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,1,1,0,1,0
1,2,1,12,60,0,1,1,0,1,0,0,0,0,1,0,0,0,2,1,1,1,1,0,0
1,1,1,12,78,1,1,1,0,0,0,0,1,0,0,0,0,0,3,1,1,0,1,0,0
1,2,1,16,30,0,1,1,0,0,1,0,1,1,1,1,0,1,3,1,1,1,1,0,0
1,2,1,15,46,1,1,1,1,1,0,0,0,1,1,1,0,1,2,1,1,1,1,0,0
1,1,1,16,30,0,1,1,1,1,1,0,1,1,0,0,0,1,2,1,1,0,1,0,0
1,2,5,12,19,1,1,1,1,1,1,0,1,1,1,1,0,1,3,1,1,1,0,0,0
1,2,1,16,33,0,1,1,1,1,1,1,1,0,1,0,0,0,2,0,1,1,1,0,0
1,2,2,13,72,0,1,1,0,1,1,0,1,1,1,1,1,1,2,1,0,1,0,0,0
1,2,2,10,71,0,1,0,0,0,1,1,0,0,0,0,0,0,3,0,1,1,0,0,0
1,2,1,13,76,0,1,1,0,0,0,0,0,1,0,0,0,0,3,1,1,1,1,0,0
1,2,1,16,33,0,1,1,0,1,1,0,1,1,1,0,0,0,2,1,1,1,1,0,0
1,2,5,15,23,0,1,1,1,1,1,1,1,1,0,1,1,1,2,0,0,1,0,0,0
2,2,4,18,61,1,1,0,0,1,1,0,1,1,1,0,0,0,3,1,1,1,0,1,0
1,1,5,13,36,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,0,0,0,0,0
3,1,1,20,63,0,1,1,0,1,1,1,1,0,1,1,1,1,2,0,0,0,1,0,1
1,2,1,12,52,0,1,1,1,0,1,0,1,1,1,1,0,1,3,1,1,1,1,0,0
2,2,5,14,36,0,1,1,0,0,1,0,1,1,1,0,0,0,2,1,1,1,0,1,0
1,1,5,14,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,2,1,12,44,0,1,1,1,1,1,1,1,1,1,1,0,0,2,0,1,1,1,0,0
1,1,5,14,25,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
1,1,5,12,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,2,5,15,47,0,1,1,1,0,1,1,1,0,1,0,1,0,2,0,0,1,0,0,0
2,1,1,16,25,1,1,1,1,1,1,1,1,1,0,1,1,1,3,0,0,0,1,1,0
1,1,5,16,33,0,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,0,0,0,0
1,2,1,14,46,0,1,1,1,1,1,0,0,0,1,0,0,1,2,1,1,1,1,0,0
1,2,3,14,72,0,1,1,0,0,1,0,1,1,1,0,0,1,2,1,1,1,0,0,0
